radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
24.69538,0.833,-49.765948,0.418,14.55,0.166,8,15.173,0.043,8,NA,NA,0,14.786,0.034,8,14.424,0.166,8,14.209,0.144,7,NA,NA,0,NA,NA,0
24.696232,0.215,-48.685882,0.15,12.657,0.036,10,13.365,0.05,10,NA,NA,0,13.023,0.243,10,12.485,0.051,10,12.409,0.249,10,12.329,0.054,2,NA,NA,0
24.696794,0.274,-48.114598,0.201,15.638,0.082,10,16.652,0.181,10,NA,NA,0,16.22,0.246,10,15.289,0.112,10,14.906,0.168,10,NA,NA,0,NA,NA,0
24.696868,0.602,-48.166519,0.32,16.877,0.086,8,17.609,0.166,8,NA,NA,0,17.224,0.308,10,16.741,0.14,10,16.453,0.18,8,NA,NA,0,NA,NA,0
24.697296,1.036,-49.733289,0.516,15.402,0.19,8,16.104,0.099,8,NA,NA,0,15.669,0.042,8,15.265,0.196,8,15.015,0.158,8,NA,NA,0,NA,NA,0
24.697498,0.352,-48.379443,0.281,16.888,0.092,3,18.341,0.09,3,NA,NA,0,17.702,0.333,9,16.53,0.058,9,16.12,0.101,6,NA,NA,0,NA,NA,0
24.698114,0.482,-49.282531,0.294,16.572,0.351,6,17.394,0.123,6,NA,NA,0,16.908,0.083,7,16.249,0.126,7,16.032,0.097,5,NA,NA,0,NA,NA,0
24.69829,0.462,-48.552688,0.46,NA,NA,0,NA,NA,0,NA,NA,0,18.375,0.243,5,16.981,0.132,5,16.099,0.07,5,NA,NA,0,NA,NA,0
24.699002,0.629,-48.410853,0.414,NA,NA,0,NA,NA,0,NA,NA,0,18.281,0.344,6,17.271,0.131,6,16.491,0.212,1,NA,NA,0,NA,NA,0
24.69979,0.476,-49.352896,0.254,15.886,0.195,8,17.001,0.133,8,NA,NA,0,16.398,0.06,8,15.467,0.2,8,15.126,0.076,6,NA,NA,0,NA,NA,0
24.699896,0.408,-49.254063,0.218,15.62,0.198,8,16.236,0.085,8,NA,NA,0,15.867,0.034,7,15.448,0.147,7,15.28,0.076,7,NA,NA,0,NA,NA,0
24.700016,0.404,-48.436753,0.39,NA,NA,0,NA,NA,0,NA,NA,0,18.849,0.232,1,17.374,0.183,1,16.284,0.199,1,NA,NA,0,NA,NA,0
24.70005,0.211,-49.122937,0.22,15.174,0.03,6,15.786,0.049,6,NA,NA,0,15.435,0.046,6,15.038,0.034,6,14.907,0.043,6,NA,NA,0,NA,NA,0
